City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,birzai,56.2,24.75,35.87,86,6,8.7,LT,1697499774
1,port alfred,-33.5906,26.891,60.19,94,85,8.75,ZA,1697499774
2,yellowknife,62.456,-114.3525,45.41,94,75,8.05,CA,1697499775
3,arraial do cabo,-22.9661,-42.0278,73.36,88,75,18.41,BR,1697499775
4,port-aux-francais,-49.35,70.2167,37.06,90,93,28.45,TF,1697499775
5,puerto colombia,10.9878,-74.9547,80.69,74,38,7.18,CO,1697499775
6,heroica guaymas,27.9333,-110.9,103.89,47,20,13.8,MX,1697499776
7,geraldton,-28.7667,114.6,72.01,78,100,6.91,AU,1697499690
8,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,88,75,17.9,RU,1697499776
9,albany,42.6001,-73.9662,53.46,76,95,2.82,US,1697499776
10,ribeira grande,38.5167,-28.7,66.6,82,20,8.05,PT,1697499777
11,anadyr,64.75,177.4833,28.9,79,20,11.18,RU,1697499777
12,caleta de carquin,-11.0925,-77.6267,67.37,85,66,10.71,PE,1697499777
13,wailua homesteads,22.0669,-159.378,81.39,73,20,10.36,US,1697499777
14,iqaluit,63.7506,-68.5145,19.13,79,20,10.36,CA,1697499591
15,new plymouth,-39.0667,174.0833,61.81,95,100,18.1,NZ,1697499773
16,ushuaia,-54.8,-68.3,46.06,66,75,16.11,AR,1697499618
17,fort bragg,35.139,-79.006,58.82,61,0,5.75,US,1697499778
18,adamstown,-25.066,-130.1015,72.39,81,32,7.81,PN,1697499778
19,lebu,-37.6167,-73.65,51.44,82,0,30.51,CL,1697499610
20,whitehorse,60.7161,-135.0538,36.37,100,100,0.0,CA,1697499778
21,avarua,-21.2078,-159.775,73.45,60,75,13.8,CK,1697499779
22,cacapava do sul,-30.5122,-53.4914,63.82,99,100,3.31,BR,1697499779
23,grytviken,-54.2811,-36.5092,32.58,95,76,10.92,GS,1697499779
24,waitangi,-43.9535,-176.5597,56.07,85,57,30.51,NZ,1697499594
25,euclides da cunha,-10.5075,-39.0158,70.39,67,4,11.3,BR,1697499780
26,cockburn town,21.4612,-71.1419,85.96,70,40,5.75,TC,1697499700
27,guerrero,17.6667,-100.0,70.47,81,89,2.06,MX,1697499780
28,vorgashor,67.5833,63.95,34.72,98,100,9.93,RU,1697499669
29,hawaiian paradise park,19.5933,-154.9731,83.71,76,0,10.36,US,1697499780
30,puerto baquerizo moreno,-0.9,-89.6,74.61,82,87,11.16,EC,1697499781
31,margate,51.3813,1.3862,53.91,70,100,4.0,GB,1697499781
32,timimoun,29.2639,0.231,75.58,16,0,4.61,DZ,1697499781
33,pechora,65.1472,57.2244,40.86,90,100,8.01,RU,1697499781
34,jacmel,18.2342,-72.5347,87.64,93,41,2.26,HT,1697499781
35,malango,-2.9627,119.9001,77.04,67,13,3.18,ID,1697499782
36,hotan,37.0997,79.9269,59.58,22,100,4.18,CN,1697499782
37,minas de marcona,-15.2119,-75.1103,64.89,72,26,6.26,PE,1697499782
38,nouadhibou,20.931,-17.0347,80.58,47,99,16.11,MR,1697499747
39,st. john's,47.5649,-52.7093,48.97,97,100,26.46,CA,1697499782
40,nuuk,64.1835,-51.7216,25.41,68,0,16.11,GL,1697499783
41,yanchep,-31.55,115.6833,82.53,50,0,9.95,AU,1697499783
42,puerto ayacucho,5.6639,-67.6236,79.09,81,63,2.73,VE,1697499783
43,blackmans bay,-43.0167,147.3167,58.73,53,9,2.19,AU,1697499783
44,atafu village,-8.5421,-172.5159,82.47,78,70,15.84,TK,1697499783
45,masterton,-40.9597,175.6575,57.88,99,100,13.96,NZ,1697499784
46,bilibino,68.0546,166.4372,12.96,96,99,3.4,RU,1697499664
47,soe,-9.8607,124.284,79.43,32,73,6.91,ID,1697499784
48,lhasa,29.65,91.1,39.38,66,99,5.12,CN,1697499704
49,tura,25.5198,90.2201,66.22,94,0,4.79,IN,1697499785
50,zhezqazghan,47.7833,67.7667,45.61,54,0,8.97,KZ,1697499785
51,whakatane,-37.9585,176.9854,68.88,86,69,13.11,NZ,1697499785
